group,variable,value
18.0,2141738,0
18.0,2141739,0
18.0,2141741,0
18.0,2142772,2
18.0,2142777,1
18.0,2142781,0
18.0,2142782,0
18.0,2144949,0
18.0,2144952,0
18.0,2145052,1
18.5,201623,1
18.5,559810,1
18.5,2001008,1
18.5,2001009,1
18.5,2001010,3
18.5,2001011,2
18.5,2007303,0
18.5,2011395,0
18.5,2011876,3
18.5,2013774,3
18.5,2013814,1
18.5,2013851,1
18.5,2016450,1
18.5,2019494,1
18.5,2117472,0
18.5,2126770,2
18.5,2128758,0
18.5,2129250,1
18.5,2130036,0
18.5,2138497,0
18.5,2140612,0
18.5,2140613,0
18.5,2140616,2
18.5,2140623,2
18.5,2140630,0
18.5,2140632,3
18.5,2140633,1
18.5,2140634,0
18.5,2140635,1
18.5,2140643,1
18.5,2140648,1
18.5,2140668,0
18.5,2140675,2
18.5,2140676,1
18.5,2140685,1
18.5,2140686,1
18.5,2140687,1
18.5,2140700,1
18.5,2140701,1
18.5,2140702,2
18.5,2140703,1
18.5,2140704,1
18.5,2140709,0
18.5,2140711,0
18.5,2140723,0
18.5,2140725,3
18.5,2140726,0
18.5,2140731,1
18.5,2140732,0
18.5,2140738,0
18.5,2140739,0
18.5,2140741,1
18.5,2140745,0
18.5,2140750,0
18.5,2140751,2
18.5,2140752,2
18.5,2140753,0
18.5,2140760,1
18.5,2140761,0
18.5,2140770,0
18.5,2140771,1
18.5,2140776,1
18.5,2140781,2
18.5,2140783,1
18.5,2140784,1
18.5,2140795,2
18.5,2140828,0
18.5,2140829,0
18.5,2140849,0
18.5,2140855,1
18.5,2140856,2
18.5,2140943,0
18.5,2140961,0
18.5,2140985,1
18.5,2140988,0
18.5,2140991,1
18.5,2140994,1
18.5,2141004,1
18.5,2141016,1
18.5,2141017,3
18.5,2141029,0
18.5,2141034,0
18.5,2141035,0
18.5,2141037,0
18.5,2141048,1
18.5,2141082,1
18.5,2141086,1
18.5,2141097,1
18.5,2141098,1
18.5,2141099,3
18.5,2141102,0
18.5,2141108,0
18.5,2141109,1
18.5,2141110,1
18.5,2141115,0
18.5,2141122,4
18.5,2141143,0
18.5,2141147,0
18.5,2141148,2
18.5,2141160,2
18.5,2141168,1
18.5,2141180,0
18.5,2141186,0
18.5,2141191,1
18.5,2141192,0
18.5,2141203,0
18.5,2141204,0
18.5,2141227,0
18.5,2141240,1
18.5,2141250,1
18.5,2141251,0
18.5,2141263,0
18.5,2141267,0
18.5,2141268,0
18.5,2141270,1
18.5,2141271,0
18.5,2141280,0
18.5,2141338,0
18.5,2141340,1
18.5,2141350,2
18.5,2141376,0
18.5,2141400,1
18.5,2141406,0
18.5,2141427,1
18.5,2141428,0
18.5,2141433,0
18.5,2141434,1
18.5,2141439,0
18.5,2141440,0
18.5,2141444,1
18.5,2141456,0
18.5,2141466,0
18.5,2141489,0
18.5,2141490,0
18.5,2141491,0
18.5,2141492,1
18.5,2141529,0
18.5,2141530,0
18.5,2141553,1
18.5,2141554,0
18.5,2141555,0
18.5,2141556,0
18.5,2141557,2
18.5,2141558,0
18.5,2141568,1
18.5,2141588,1
18.5,2141596,0
18.5,2141598,0
18.5,2141599,1
18.5,2141600,0
18.5,2141601,0
18.5,2141603,1
18.5,2141605,1
18.5,2141614,0
18.5,2141620,0
18.5,2141622,0
18.5,2141625,1
18.5,2141627,0
18.5,2141629,0
18.5,2141630,0
18.5,2141643,0
18.5,2141717,1
18.5,2141737,2
18.5,2141738,0
18.5,2141739,2
18.5,2141741,0
18.5,2142772,2
18.5,2142777,1
18.5,2142781,0
18.5,2142782,0
18.5,2144949,0
18.5,2144952,0
18.5,2145052,1
19.0,201623,1
19.0,559810,3
19.0,2001008,2
19.0,2001009,2
19.0,2001010,1
19.0,2001011,2
19.0,2007303,2
19.0,2011395,1
19.0,2011876,1
19.0,2013774,3
19.0,2013814,3
19.0,2013851,1
